Frame,Visibility,X,Y
991,0,0,0
992,0,0,0
993,0,0,0
994,0,0,0
995,0,0,0
996,0,0,0
997,0,0,0
998,0,0,0
999,0,0,0
1000,0,0,0
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,1,386,5
1008,1,383,16
1009,1,379,26
1010,1,375,38
1011,1,375,38
1012,1,372,51
1013,1,368,63
1014,1,365,78
1015,1,361,93
1016,1,358,110
1017,1,358,110
1018,1,354,125
1019,1,351,141
1020,1,349,158
1021,1,345,175
1022,1,344,193
1023,1,344,191
1024,1,356,248
1025,1,414,200
1026,0,0,0
1027,1,469,196
1028,1,484,196
1029,1,484,196
1030,1,498,198
1031,1,508,200
1032,1,517,203
1033,0,0,0
1034,1,532,210
1035,1,533,210
1036,1,540,213
1037,1,546,218
1038,1,551,220
1039,1,556,203
1040,1,553,193
1041,1,553,193
1042,1,556,186
1043,1,560,183
1044,1,562,180
1045,1,565,176
1046,1,567,173
1047,1,567,173
1048,1,569,171
1049,1,571,171
1050,1,572,173
1051,1,574,175
1052,1,576,176
1053,1,576,176
1054,1,578,180
1055,1,579,185
1056,1,581,191
1057,1,581,198
1058,1,583,203
1059,1,583,203
1060,1,585,211
1061,1,585,220
1062,1,587,230
1063,1,588,240
1064,1,588,253
1065,1,588,253
1066,1,588,263
1067,1,590,276
1068,1,592,288
1069,1,592,301
1070,1,592,315
1071,1,592,315
1072,0,0,0
1073,1,558,255
1074,1,537,208
1075,1,517,171
1076,1,505,143
1077,1,505,141
1078,1,493,118
1079,1,482,98
1080,1,473,80
1081,1,464,66
1082,1,459,53
1083,1,459,53
1084,1,452,43
1085,1,445,35
1086,1,439,28
1087,1,436,23
1088,1,430,18
1089,1,430,18
1090,1,425,15
1091,1,422,13
1092,1,418,11
1093,1,414,11
1094,1,411,11
1095,1,411,11
1096,1,407,13
1097,1,406,16
1098,1,402,18
1099,1,400,23
1100,1,399,26
1101,1,397,28
1102,1,397,33
1103,1,393,40
1104,1,391,45
1105,1,393,55
1106,1,413,75
1107,1,411,75
1108,1,429,90
1109,1,443,103
1110,1,455,116
1111,1,466,130
1112,1,475,141
1113,1,475,141
1114,1,485,153
1115,1,493,166
1116,1,500,178
1117,1,508,191
1118,1,514,203
1119,1,514,203
1120,1,521,216
1121,1,528,230
1122,1,533,243
1123,1,539,256
1124,1,544,270
1125,1,544,270
1126,1,549,285
1127,1,553,300
1128,1,556,316
1129,1,560,330
1130,0,0,0
1131,0,0,0
1132,1,558,238
1133,1,556,198
1134,1,555,165
1135,1,553,138
1136,1,404,176
1137,1,404,176
1138,1,406,178
1139,1,409,178
1140,1,553,68
1141,1,551,56
1142,1,422,161
1143,1,422,161
1144,1,551,38
1145,1,551,31
1146,1,551,26
1147,1,551,23
1148,1,551,20
1149,1,551,20
1150,1,551,16
1151,1,551,16
1152,1,551,16
1153,1,551,16
1154,1,551,18
1155,1,551,20
1156,1,553,21
1157,1,553,25
1158,1,553,30
1159,1,553,35
1160,1,553,40
1161,1,553,40
1162,1,553,46
1163,1,555,53
1164,1,555,60
1165,1,555,68
1166,1,556,80
1167,1,555,80
1168,1,563,88
1169,1,569,95
1170,1,571,103
1171,1,576,111
1172,1,579,120
1173,1,578,120
1174,1,581,130
1175,1,585,138
1176,1,588,146
1177,1,590,156
1178,1,592,166
1179,1,592,166
1180,1,594,176
1181,1,595,188
1182,1,597,200
1183,1,599,210
1184,1,601,223
1185,1,601,225
1186,1,602,236
1187,1,604,248
1188,1,602,263
1189,1,606,276
1190,1,606,291
1191,1,606,290
1192,1,608,306
1193,1,610,320
1194,1,610,325
1195,1,602,263
1196,1,599,221
1197,1,599,220
1198,1,594,185
1199,1,590,156
1200,0,0,0
1201,1,587,113
1202,1,585,95
1203,1,585,95
1204,1,583,80
1205,1,581,66
1206,1,581,56
1207,1,579,48
1208,1,579,41
1209,1,579,40
1210,1,578,35
1211,1,578,30
1212,1,578,26
1213,1,576,25
1214,1,576,23
1215,1,576,23
1216,1,574,23
1217,1,574,23
1218,1,574,23
1219,1,574,26
1220,1,574,28
1221,1,574,30
1222,1,574,33
1223,1,574,36
1224,1,574,43
1225,1,574,48
1226,1,574,55
1227,1,574,55
1228,1,572,61
1229,1,572,71
1230,1,572,75
1231,1,567,80
1232,1,567,85
1233,1,567,85
1234,1,563,90
1235,1,563,96
1236,1,562,103
1237,1,562,110
1238,1,560,115
1239,1,560,116
1240,1,560,123
1241,1,558,133
1242,1,556,141
1243,1,556,151
1244,1,556,160
1245,1,556,160
1246,1,555,170
1247,1,553,183
1248,1,553,196
1249,1,551,206
1250,1,551,218
1251,1,551,218
1252,1,549,233
1253,1,524,220
1254,1,494,193
1255,1,471,175
1256,1,455,161
1257,1,455,161
1258,1,441,150
1259,1,429,143
1260,1,418,138
1261,1,409,133
1262,1,400,130
1263,1,400,130
1264,1,393,126
1265,1,386,126
1266,1,381,126
1267,1,375,126
1268,1,372,130
1269,1,372,128
1270,1,367,113
1271,1,360,101
1272,1,354,90
1273,1,349,81
1274,1,344,76
1275,1,381,185
1276,1,377,190
1277,1,338,68
1278,1,368,200
1279,1,333,65
1280,1,329,66
1281,1,329,66
1282,1,328,66
1283,1,326,70
1284,1,322,73
1285,1,320,78
1286,1,319,83
1287,1,319,83
1288,1,317,90
1289,1,315,96
1290,1,312,106
1291,1,312,115
1292,1,308,125
1293,1,308,125
1294,1,308,135
1295,1,305,150
1296,1,303,160
1297,1,301,173
1298,1,301,188
1299,1,301,188
1300,1,299,201
1301,1,296,216
1302,1,297,198
1303,1,301,156
1304,1,303,130
1305,1,303,130
1306,1,305,108
1307,1,306,95
1308,1,308,85
1309,1,310,76
1310,1,312,71
1311,1,310,70
1312,1,312,66
1313,1,313,63
1314,1,313,61
1315,1,315,61
1316,1,317,61
1317,1,317,61
1318,1,319,63
1319,1,319,65
1320,1,320,68
1321,1,322,71
1322,1,322,75
1323,1,324,76
1324,1,324,80
1325,1,319,110
1326,1,308,153
1327,1,299,185
1328,1,294,211
1329,1,294,211
1330,1,287,236
1331,1,281,260
1332,1,278,281
1333,1,273,300
1334,1,269,320
1335,1,269,320
1336,0,0,0
1337,1,264,360
1338,1,260,380
1339,1,242,395
1340,0,0,0
1341,0,0,0
1342,1,170,413
1343,1,143,413
1344,1,118,408
1345,1,101,406
1346,1,81,405
1347,1,83,405
1348,1,63,406
1349,0,0,0
1350,0,0,0
1351,0,0,0
1352,1,356,381
1353,1,356,381
1354,0,0,0
1355,0,0,0
1356,0,0,0
1357,0,0,0
1358,0,0,0
1359,0,0,0
1360,0,0,0
1361,0,0,0
1362,0,0,0
1363,0,0,0
1364,0,0,0
1365,0,0,0
1366,0,0,0
1367,0,0,0
1368,0,0,0
1369,0,0,0
1370,0,0,0
1371,0,0,0
1372,0,0,0
1373,0,0,0
1374,0,0,0
1375,0,0,0
1376,0,0,0
1377,0,0,0
1378,0,0,0
1379,0,0,0
1380,0,0,0
1381,0,0,0
1382,0,0,0
1383,0,0,0
1384,0,0,0
1385,0,0,0
1386,0,0,0
1387,0,0,0
1388,0,0,0
1389,0,0,0
1390,0,0,0
1391,0,0,0
1392,0,0,0
1393,0,0,0
1394,0,0,0
1395,0,0,0
1396,0,0,0
1397,0,0,0
1398,1,166,43
1399,0,0,0
1400,0,0,0
1401,0,0,0
1402,0,0,0
1403,0,0,0
1404,0,0,0
1405,0,0,0
1406,0,0,0
1407,0,0,0
1408,1,461,203
1409,1,461,203
1410,1,461,201
1411,1,461,201
1412,1,461,201
1413,1,461,201
1414,1,461,201
1415,1,461,201
1416,1,461,203
1417,0,0,0
1418,0,0,0
1419,0,0,0
1420,1,457,203
1421,1,457,201
1422,1,457,201
1423,1,457,201
1424,1,457,200
1425,1,457,200
1426,1,455,200
1427,1,455,200
1428,1,455,200
1429,1,455,200
1430,1,455,200
1431,1,455,200
1432,1,455,200
1433,1,455,200
1434,1,455,200
1435,1,455,200
1436,1,455,200
1437,1,455,200
1438,1,455,200
1439,1,455,200
1440,1,455,200
1441,1,455,200
1442,1,455,200
1443,1,455,200
1444,1,455,200
1445,1,455,200
1446,1,455,200
1447,1,455,200
1448,1,455,200
1449,1,455,200
1450,1,455,200
1451,1,457,201
1452,1,457,201
1453,1,457,201
1454,1,457,201
1455,1,457,201
1456,0,0,0
1457,0,0,0
1458,0,0,0
1459,0,0,0
1460,0,0,0
1461,0,0,0
1462,0,0,0
1463,0,0,0
1464,1,461,200
1465,1,461,200
1466,1,461,198
1467,1,461,198
1468,1,461,198
1469,1,462,196
1470,1,462,196
1471,1,462,196
1472,1,423,185
1473,1,423,185
1474,1,423,185
1475,1,423,186
1476,1,423,186
1477,1,423,186
1478,1,425,186
1479,1,425,186
1480,0,0,0
1481,0,0,0
1482,0,0,0
1483,0,0,0
1484,0,0,0
1485,0,0,0
1486,0,0,0
1487,0,0,0
1488,1,466,198
1489,1,466,198
1490,1,468,196
1491,1,468,195
1492,1,468,193
1493,1,468,191
1494,1,468,190
1495,1,469,190
1496,1,475,185
1497,1,477,181
1498,1,478,180
1499,1,482,178
1500,1,482,180
1501,1,482,181
1502,1,485,183
1503,1,487,186
1504,1,487,186
1505,1,489,191
1506,1,493,196
1507,1,493,201
1508,1,494,208
1509,1,496,216
1510,1,496,216
1511,1,498,225
1512,1,498,233
1513,1,500,243
1514,1,501,253
1515,1,501,253
1516,1,503,256
1517,1,512,211
1518,1,512,180
1519,1,516,153
1520,1,468,231
1521,1,521,115
1522,1,521,115
1523,1,523,100
1524,1,524,86
1525,1,526,75
1526,1,528,68
1527,1,530,60
1528,1,532,60
1529,1,532,53
1530,1,493,183
1531,1,496,176
1532,1,537,43
1533,1,537,43
1534,1,537,41
1535,1,539,43
1536,1,540,43
1537,1,542,43
1538,1,542,46
1539,1,542,48
1540,1,544,50
1541,1,546,53
1542,1,546,58
1543,1,547,63
1544,1,549,70
1545,1,549,70
1546,1,549,76
1547,1,551,83
1548,1,551,90
1549,1,539,80
1550,0,0,0
1551,1,516,60
1552,1,516,60
1553,1,507,51
1554,1,500,46
1555,1,493,43
1556,1,485,41
1557,1,480,41
1558,1,480,41
1559,1,473,41
1560,1,468,43
1561,1,464,45
1562,1,459,48
1563,1,455,51
1564,1,454,53
1565,1,450,56
1566,1,445,63
1567,1,441,70
1568,1,436,78
1569,1,432,86
1570,1,432,86
1571,1,429,96
1572,1,423,106
1573,1,420,116
1574,1,418,130
1575,1,418,128
1576,1,413,140
1577,1,409,153
1578,1,406,168
1579,1,402,181
1580,1,399,196
1581,1,397,211
1582,1,397,210
1583,1,386,196
1584,1,381,186
1585,1,375,180
1586,1,372,176
1587,1,370,175
1588,1,368,173
1589,1,368,173
1590,1,367,173
1591,1,365,175
1592,1,365,176
1593,1,365,180
1594,1,365,180
1595,1,365,183
1596,1,363,186
1597,1,368,185
1598,1,375,181
1599,1,379,175
1600,1,381,175
1601,1,386,176
1602,1,393,175
1603,1,400,176
1604,1,404,176
1605,1,409,180
1606,1,411,180
1607,1,414,181
1608,1,420,186
1609,1,423,191
1610,1,429,196
1611,1,432,203
1612,1,432,203
1613,1,436,210
1614,1,439,216
1615,1,443,226
1616,1,448,278
1617,1,450,245
1618,1,450,245
1619,1,452,255
1620,1,455,266
1621,1,457,278
1622,1,459,281
1623,1,454,263
1624,1,454,263
1625,1,450,243
1626,1,445,228
1627,1,443,216
1628,1,443,210
1629,1,439,201
1630,1,439,200
1631,1,438,195
1632,1,436,190
1633,1,436,186
1634,1,434,183
1635,1,432,181
1636,1,430,180
1637,1,430,180
1638,1,429,180
1639,1,429,181
1640,1,429,185
1641,1,427,186
1642,1,427,188
1643,1,427,190
1644,1,425,196
1645,1,425,201
1646,1,416,196
1647,1,409,176
1648,1,409,176
1649,1,399,161
1650,1,390,150
1651,0,0,0
1652,1,375,131
1653,1,370,125
1654,1,368,125
1655,1,361,120
1656,1,356,115
1657,1,351,113
1658,1,345,111
1659,1,340,110
